,modelname,manufacturer,category,programurl,categoryinfo2,categoryinfo3
0,Bayport Cutaways,Bayport ,Oil & Gas,https://tech-labs.com/products/bayport-cutaways,Cutaways & Working Demonstrators,
1,Bayport Models,Bayport ,Advanced Manufacturing,https://tech-labs.com/products/bayport-models,Cutaways & Working Demonstrators,
2,Bayport Training Systems,Bayport ,Advanced Manufacturing,https://tech-labs.com/products/bayport-training-systems,,
3,Bayport Working Demonstrators,Bayport ,Oil & Gas,https://tech-labs.com/products/bayport-working-demonstrators,,
