,modelname,category,productpdfurl,productimageurl,productimageurl2,productimageurl3,productimageurl4
97,Flange Bolt Torquing Trainer,,null,https://tech-labs.com/sites/default/files/product_images/DAC_225.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_225.jpg
98,Flange Bolt Torquing Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC_225_0.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_225_0.jpg
99,Flange Sample Board,,null,https://tech-labs.com/sites/default/files/product_images/DAC_864-PAC_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_864-PAC_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_864-PAC_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_864-PAC_Front.jpg
100,Flare System Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_294-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_294-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_294-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_294-1.jpg
101,Floating Ball Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-753.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-753-detail.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-753.jpg
102,Floating Head Bulk Storage Tank Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-202-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-202-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-202-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-202-1.jpg
103,Flow of Fluids Unit (Continuous Reactors),,null,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-RAP4000.jpg,null,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-RAP4000-board.jpg,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-RAP4000.jpg
104,Fluid Coupling Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_200-2082_Left.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC_200-2082_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2082_Left.jpg
105,Fluid Coupling Replica,,null,https://tech-labs.com/sites/default/files/product_images/DAC_208-110-5.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_208-110-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_208-110-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_208-110-5.jpg
106,Fuse Sample Board,,null,https://tech-labs.com/sites/default/files/product_images/DAC_816-PAC_Front.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC_816-PAC_Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_816-PAC_Front.jpg
107,Gas Turbine Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-301-4.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-301-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-301-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-301-4.jpg
108,Gas-Liquid Absorption,,null,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-ABS2000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-ABS2000.jpg
109,Gate Valve Dissectible,,null,null,null,null,null
110,Gear Maintenance Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_205-000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_205-000.jpg
111,Gear Maintenance Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_205-PAC.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_205-PAC.jpg
112,Gear Sample Board,,null,https://tech-labs.com/sites/default/files/product_images/836-PAC.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/836-PAC.jpg
113,Hammer Union Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-708-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-708-right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-708-left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-708-Front.jpg
114,Heat Exchanger Maintenance Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-238-000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-238-000.jpg
115,Heat Exchanger Process Control Trainer,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-607D_0.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-607D_0.jpg
116,Heat Pump Reversing Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-505-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-505-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-505-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-505-Front.jpg
117,Hermetic Compressor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-373-110.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-373-110-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-373-110-Top.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-373-110.jpg
