,modelname,category,productpdfurl,productimageurl,productimageurl2,productimageurl3,productimageurl4
172,Pneumatic Level Controller Assembly Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-713-close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-713-side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-713-front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-713-close.jpg
173,Pneumatic Level Switch Training Aid,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-722-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-722-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-722-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-722-Close.jpg
174,Pneumatic Surface Safety Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-719P.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-719P.jpg
175,Portable Calibration Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-616_117-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-616_117-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-616_117-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-616_117-Right.jpg
176,Pressure Control Switch Sample Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_272-980.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_272-980-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_272-980-Back.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_272-980.jpg
177,Pressure Switch Sample Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/pressure-switch-training-4-DACW-272-981.jpg,https://tech-labs.com/sites/default/files/product_images/pressure-switch-training-2-DACW-272-981.jpg,https://tech-labs.com/sites/default/files/product_images/pressure-switch-training-1-DACW-272-981.jpg,https://tech-labs.com/sites/default/files/product_images/pressure-switch-training-4-DACW-272-981.jpg
178,Pulsed Liquid-Liquid Extraction,,null,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-ELL4000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-ELL4000.jpg
179,Pump Impeller Sample Board,,null,https://tech-labs.com/sites/default/files/product_images/869-PAC.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/869-PAC.jpg
180,Pumpjack Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-408-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-408-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-408-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-408-2.jpg
181,Reciprocating Compressor Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-211-000.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-211-000-side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-211-000.jpg
182,"Representative Triplex, Plunger Mud Pump Dissectible",,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-418_1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-418_3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-418_2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-418_1.jpg
183,Right Angle Spiral Bevel Gear Reducer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-220_Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-220_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-220_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-220_Close.jpg
184,Right Angle Spiral Bevel Gear Reducer Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-120.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-120.jpg
185,Right Angle Straight Bevel Gear Reducer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-210_Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-210_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-210_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-210_Close.jpg
186,Right Angle Straight Bevel Gear Reducer Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-110.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-110.jpg
187,Right Angle Worm Gear Reducer Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-101.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-101.jpg
188,Rod Pump Stuffing Box Assembly Replica Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-406-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-406-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-406-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-406-2.jpg
189,"Rotary Drilling Bit Replica Set, 9-Piece",,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-405-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-405-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-405-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-405-1.jpg
190,Rotary Kiln Maintenance Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-241-000.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-241-000-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-241-000.jpg
191,Schrader Service Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-529%29front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-529_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-529_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-529%29front.jpg
192,Screw Pump Dissectible (Imo),,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-190-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-190-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-190-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-190-2.jpg
193,Semi-Hermetic Compressor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-120.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-120_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-120_close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-120.jpg
194,"Shaft Mounted, Hollow-Shaft Helical Gear Reducer Dissectible",,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-160.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-160.jpg
195,"Shaft-Mounted, Hollow-Shaft Helical Gear Reducer Cutaway",,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-260_Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-260_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-260_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-260_Close.jpg
196,Shunt Wound DC Motor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-945.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-945-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-273-945.jpg
197,Sight Flow Indicator Sample Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_272-715.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_272-715.jpg
198,Sightglass with Moisture Indicator Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-652.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-652_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-652_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-652.jpg
199,Single Phase Capacitor-Start AC Motor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-930.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-930-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-273-930.jpg
200,Single-Phase PSC AC Motor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-950.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-273-950-Close_0.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-273-950-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-273-950.jpg
201,Single-Phase Transformer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-912.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-912.jpg
202,Sliding Vane Pump Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-139-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-139-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-139-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-139-1.jpg
203,Spherical Roller Bearing Pillow Block Assembly Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_200-2045_Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2045_Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2045_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2045_Close.jpg
204,Steam Trap Cutaway Assortment,,null,https://tech-labs.com/sites/default/files/product_images/DAC-274-Side.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-274.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-274-Side.jpg
205,Steam Turbine Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/steam-turbine-dissectible-training-W249SS011.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/steam-turbine-dissectible-training-W249SS011.jpg
206,Stirred Liquid-Liquid Extraction,,null,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-ELA100.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/Pignat-DAC-Worldwide-ELA100.jpg
207,Submersible Vertical Turbine Pump Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-125.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-125.jpg
208,Submersible Vertical Turbine Pump Dissectible (Goulds/IR/Durco/Aurora),,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-120.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-120.jpg
209,Sucker Rod Pump Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-407-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-407-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-407-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-407-1.jpg
210,Surge Suppressor Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-403-5.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-403-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-403-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-403-5.jpg
211,Temperature Process Control Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC_602-PAC.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC_602-PAC_Back.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_602-PAC.jpg
212,Temperature Regulator Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-701.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-701-side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-701-side2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-701.jpg
213,Three-Phase Squirrel-Cage AC Motor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-920.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-273-920-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-273-920-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-273-920.jpg
214,Three-Phase Squirrel-Cage Explosion-Proof AC Motor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_273-925.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_273-925-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_273-925-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_273-925.jpg
215,Three-Phase Transformer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-915_0.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-915_0.jpg
216,Transformer Connections Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_491-000-top.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_491-000-full.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_491-000-front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_491-000-top.jpg
217,Treater Dump Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-723-detail.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-723-front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-723.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-723-detail.jpg
218,U-Tube Heat Exchanger Training Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-285-Angle.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-285-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-285-Right-Angle.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-285-Angle.jpg
219,Urethane Tire Coupling Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/200-2083.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/200-2083.jpg
220,Valve Packing Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC_250-PAC_Right_0.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_250-PAC_Right_0.jpg
221,Valve Packing Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC_250-PAC_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_250-PAC.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_250-PAC_Back.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_250-PAC_Right.jpg
222,Variable Area Flow Meter Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_272-718.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_272-718.jpg
223,Variable Speed Gear Reducer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-290_Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-290_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-290_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-290_Close.jpg
224,Vertical Centrifugal Pump Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-128D-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-128D-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-128D-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-128D-1.jpg
225,Vertical Coupling / Shaft Alignment Training,,null,https://tech-labs.com/sites/default/files/product_images/DAC-207.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-207.jpg
226,Vertical Coupling Shaft Alignment Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC-207_0.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-207_0.jpg
227,Vertical Cross-Flow Separator Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-115-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-115-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-115-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-115-3.jpg
228,Vertical Separator Trainer,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-101.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-101.jpg
229,Vertical Separator Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-101-PAC.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-101-PAC.jpg
230,Vertical Thermosyphon Reboiler Heat Exchanger Training Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-289-Side.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-289.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-289-Side.jpg
231,Vibration Analysis Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_203-000.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_203-000_2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_203-000.jpg
232,Vibration Analysis Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_203-PAC-FrontFull.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_203-PAC-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_203-PAC-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_203-PAC-FrontFull.jpg
233,Water Tube Boiler Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-355-Top.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-355.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-355-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-355-Top.jpg
234,Weld Fault Comparison Kit,,null,https://tech-labs.com/sites/default/files/product_images/DAC_825-000_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_825-000_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_825-000_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_825-000_Right.jpg
235,Wellhead Backpressure Regulator Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-703.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-703.jpg
236,Wrap-Spring Clutch Sample,,null,https://tech-labs.com/sites/default/files/product_images/DAC_200-2203_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2203_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2203_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2203_Left.jpg
